SchemaName,TableName,SourceNotNULLCount,TargetNotNULLCount
RegistrationDM,tblMemberDim,3,3
Report,tblAdminCustMLS,5,5
Report,tblAdminCustomers,2,2
Report,tblBDXNewHomesExport,0,0
Report,tblCoStarLeadData,4,4
Report,tblDailyAgentProfileData,3,3
Report,tblDailyAgentProfileDetail,2,2
Report,tblDailyInventoryMetricData,10,10
Report,tblEventTypeBDXMapping,7,7
Report,tblFTPReportBrokerDetail,2,2
Report,tblListHubDailyListingMetrics,0,0
Report,tblListingBCPReportExportOutPut,2,2
Report,tblListingBCPReportPlanDetail,4,4
Report,tblListingCurrentMetricAggregateFact,2,2
Report,tblListingHistoricalMetricAggregateFact,3,3
Report,tblListingMetricAggregateFact,2,2
Report,tblListingMetrics_Country_Month,2,2
Report,tblListingMetrics_MSA_Month,3,3
Report,tblResponsysSendGridDailyDelta,1,1
Report,tblRevenueReportLead,0,0
Report,tblSeniorHousingLeadData,4,4
Report,tblSiebelContracts,0,0
SearchDM,GISLookupRefreshLog,4,4
SearchDM,SearchGISBridgeMap,1,1
SearchDM,tblBathSearchCriteriaDim,2,2
SearchDM,tblBedSearchCriteriaDim,2,2
SearchDM,tblCriteriaTimespanDim,3,3
SearchDM,tblNearbyAreaBridge,2,2
SearchDM,tblPriceBucketDim,5,5
SearchDM,tblPropertyTypeDim,2,2
SearchDM,tblRealtorSearchCriteriaGroupDim,1,1
SearchDM,tblRealtorSearchCriteriaGroupFact,2,2
SearchDM,tblRealtorSearchDim,7,7
SearchDM,tblSearchAreaTypeDim,2,2
SearchDM,tblSearchDeedBridge,2,2
SearchDM,tblSearchDim,3,3
SearchDM,tblSearchEventFact,19,19
SearchDM,tblSearchGeoDim,2,2
SearchDM,tblSearchGISBridge,3,3
SearchDM,tblSearchOtherFeatureBridge,2,2
SearchDM,tblSearchOtherFeatureDim,5,5
SearchDM,tblSearchPropertyDeedDim,2,2
SearchDM,tblSearchPropertyFeatureBridge,2,2
SearchDM,tblSearchPropertyFeatureDim,5,5
SearchDM,tblSearchPropertyTypeBridge,2,2
SearchDM,tblSearchTypeDim,3,3
TheWorks,tblListHubDailyListingMetrics_SlidingWindowStaging,0,0
ValidationFramework,tblSanityRulesRunLog,2,2
WebAnalyticsDM,tblChannelActivityDailySnapshotFact,5,5
WebAnalyticsDM,tblChannelActivityHourlySnapshotFact,10,10
WebAnalyticsDM,tblClickStreamActivityDailySnapshotFact,6,6
WebAnalyticsDM,tblClickStreamActivityHourlySnapshotFact,11,11
WebAnalyticsDM,tblPageActivityDailySnapshotFact,14,14
WebAnalyticsDM,tblPeriodAggregateFact,5,5
WebAnalyticsDM,tblRDCAdTypeDim,4,4
